,Unnamed: 0,c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,32
146642,146642,19980218008809I,I,91.0,-5,F,,,,,1034.0,,B,D,,,,O,ATS,1L71,1.0,L,7.0,,3O,,,,,,,,,,,,7202B,BEECH,J35,35,3A15,CE,,,,L,,,,,,,WP,WP27,CA,OAKLAND,METROPOLITAN OAKLAND INTL,,OAK,,,,,1,B,B,S,,,,,,DRY,,OAK,,,,,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980512.0,,19980512.0,,20120808.0,1,N,1.0,0.0,S,56.0,O,53.0,,7.0,1360.0,WP,WP27,CA,"NARRATIVE: DURING TAKEOFF ROLL, DOOR OPENED AT 50 KNOTS. PILOT ABORTED TAKEOFF, APPLIED BRAKES BUT WERE INSUFFICIEN",                              ,  ,    ,           ,  ,    ,      ,None                ,II,O,A, ,TO,O,A, ,EX,IE,M,5,   ,U,U,U,A,I,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,                    ,Delay Action In Abor,Precautionary Landin,Pilot-In-Command    ,                    ,Overshoot Landing   ,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,,, ,
146698,146698,19980312011209I,I,91.0,-5,F,,,,,1900.0,,B,E,,,E,O,OPP,2L72,2.0,L,7.0,,4T,,,TR,,,,,A,,,,832JS,BAG,JETSTM3101,JETSTM,A21EU,EU,,,,L,,,,,,,GL,GL03,IL,CHICAGO,CHICAGO MIDWAY,,MDW,,,,,8,F,C,W,,,,,,,,MDW,,,,,2.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980529.0,,19980529.0,,20120808.0,9,N,5.0,3.0,S,24.0,K,950.0,,150.0,2000.0,NM,NM01,WA,"NARRATIVE: ON MARCH 12, 1998 AT APPROXIMATELY 1100 CST, BA-3100, N832JS, PILOTED BY PIC JEREMY CHIN AND SIC GREGORY",CHICAGO EXPRESS AIRLINES INC  ,IL,CX7A,CX7A206W   ,GL,GL03,      ,Instrument Flight Ru,II,E,A, ,  , , , ,SY,DA,M,5,   ,U,U,U,E, ,3,AIRLINE TRANSPORT   ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,System/Component Mal,Normal Cruise       ,                    ,Pilot Induced       ,Other               ,Ferry               ,Unknown             ,Unknown             ,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
146709,146709,19980316003559I,I,91.0,-5,F,,,,,821.0,,Z,Y,,,,O,OPP,1L71,1.0,L,7.0,,3O,,,,,,,,,,,,1354T,PIPER,PA28R200,PA28,2A13,SO,,,,L,,,,,,,NM,NM07,UT,LOGAN,LOGAN-CACHE ARPT,,LGU,,,,,8,G,B,S,,,,,,,,LGU,,,,,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980318.0,,19980511.0,,20120808.0,F3,N,1.0,9.0,S,25.0,O,50.0,,180.0,1235.0,NM,NM07,UT,NARRATIVE: THE AIRCRAFT EXPERIENCED A LOSS OF OIL PRESSURE DUE TO THE MECHANIC FAILING TO TIGHTEN THE OIL COOLER LI,                              ,  ,    ,           ,  ,    ,      ,None                ,AU,E,A, ,UO,E,M, ,CA,DD,M,1,   ,U,U,U,J,E,8,COMM PILOT FLIGHT IN,ASEL                ,UNKNOWN             ,QUALIFIED           ,UNKNOWN             ,Attempt Operation Wi,Emergency Landing   ,Pilot-In-Command    ,                    ,Unsafe Acts By Third,Emergency Landing   ,Maintenance And/Or G,                    ,Wheels-Up Landing   ,Fcd/Prec Ldg From Cr,                    ,Improper Maintenance,Other               ,Test Flight         ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
146795,146795,19980411011889I,I,121.0,-5,F,,,,,2200.0,,Q,H,,,,O,OPP,2L72,2.0,L,7.0,,4F,,,TR,,,,,A,,,,516US,BOEING,757*,757,A2NM,NM,,,,L,,,,,,,GL,GL23,MI,DETROIT,DETROIT METRO WAYNE COUNTY,,DTW,,,,,C,S,C,S,,,,,,,,DTW,,,,,2.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980603.0,,19980603.0,,20120808.0,9,N,5.0,3.0,S,,K,,,,,,,,NARRATIVE: THE #1 ENGINE CORE COWL CAME OFF THE AIRCRAFT FOLLOWING TAKE-OFF. COMPANY DISCIPLINARY ACTION WAS ADMINI,NORTHWEST AIRLINES INC        ,MN,NWAA,NWAA301A   ,GL,GL01,      ,Instrument Flight Ru,II,V,A, ,UO,V,M, ,SY,CL,M,5,   ,N,N,N,E,E,3,AIRLINE TRANSPORT   ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Unsafe Acts By Third,Other/Miscellaneous ,Maintenance And/Or G,                    ,System/Component Mal,Climb               ,                    ,Pilot Induced       ,Scheduled Air Carrie,Passengers          ,Unknown             ,Weather Not A Factor,Day                 ,Op & FAA St Policies,Recommend Gen Change,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
146806,146806,19980415037339I,I,91.0,-5,F,,,,,1100.0,,B,A,,,,O,OPP,1L71,1.0,L,7.0,,4J,,,,,,,,,,,,9127,LKHEED,T33A,T33,EXPA1L71,WP,,,,L,,,,,,,GL,GL03,IL,ROMEOVILLE,LEWIS UNIVERSITY ARPT,,LOT,,,,,1,B,C,W,,,,,,,,LOT,,,,,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19990309.0,,19990309.0,,20120808.0,9,N,5.0,3.0,S,45.0,K,,,,6650.0,GL,GL03,IL,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,  , , , ,CA,HA,M,5,   ,U,U,N,E, ,8,AIRLINE TRANSPORT   ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Wheels-Up Landing   ,Level Off Touchdown ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Unknown             ,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
146838,146838,19980425018559I,I,135.0,-5,F,,,,,1400.0,,,,,,,O,OPP,1G72,1.0,G,7.0,,3U,,,,,,,,A,,,,365ME,AEROSP,SA365N,SA365,H10EU,EU,,,,G,,,,,,,EA,EA13,PA,WELLSBORO,GRAND CANYON STATE ARPT,,N38,,,,,5,Y,B,S,,,,,,,,N38,,,,,3.0,2.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980731.0,,19980731.0,,20120808.0,9,N,21.0,3.0,S,36.0,K,400.0,,45.0,2750.0,EA,EA13,PA,BELLY PANEL SEPERATED AIRCRAFT IN FLIGHT. PANEL WAS NEVER FOUND. OPERATOR HAS IMPLIMENTED PREVENTATIVE PROCEDURES. ,HERSHEY MEDICAL CENTER        ,PA,OLJA,OLJA574U   ,EA,EA13,      ,Unknown             ,II,E,A, ,SA,V,M, ,SE,DA,M,1,   ,U,U,U,V,E,0,AIRLINE TRANSPORT   ,RH ASEL             ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,Improperly Serviced ,Other/Miscellaneous ,Maintenance And/Or G,                    ,Other-Miscellaneous ,Normal Cruise       ,                    ,Improper Maintenance,Air Taxi (Non-Schedu,Air Ambulance       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
146852,146852,19980429008209A,A,91.0,0.4,N,,,,,952.0,,B,D,B,E,E,O,LSG,1M71,1.0,M,7.0,,3O,3.0,O,,,,,,,,,,728RJ,AMTR,VARIEZE,VAREZE,EXPA1M71,GL,,,,M,LYC,O235L2C,O235,E223,EA,O,NE,NE03,CT,WATERBURY,WATERBURY ARPT,18,N41,,,,,1,B,B,S,,CLER,,10,,DRY,,N41,,,,,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19980501.0,19980609.0,,,20120808.0,1,N,1.0,0.0,P,65.0,O,30.0,10.0,10.0,1122.0,NE,NE03,CT,LOST POWER AT 8000 FT OVER 22B. UNABLE TO LOCATE IT. TRIED FOR N41. UNABLE LANDED IN TREES. FUEL TANKS EMPTY. (.4) ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,  , , , ,OC,DG,D,5,   ,N,N,N,E, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,NO BIENNIAL FLIGHT R,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,Practice Training Ma,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,Flight Personnel    ,Violation           ,UNDER 12501 LBS               ,MONOPLANE-MID WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, ,
146867,146867,19980508008619A,A,91.0,0.4,N,,,,,1936.0,,B,D,,,,O,OTH,1H71,1.0,H,7.0,,3O,3.0,O,,,,,,,,,,904DS,CESSNA,177B,177,A13CE,CE,,,,H,LYC,O360*,O360,E286,EA,O,GL,GL07,OH,PRATTSVILLE,,,,,,,,1,B,B,S,,SCAT,,8,,,,,,,,,2.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980511.0,19980624.0,,,20120808.0,F3,N,5.0,3.0,S,22.0,O,120.0,25.0,163.0,1055.0,GL,GL11,IN,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,                              ,  ,    ,           ,  ,    ,      ,Instrument Flight Ru,II,V,A, ,PP,V,A, ,IA,DD,S,5,   ,Y,Y,N,F,A,3,COMM PILOT FLIGHT IN,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Poor Preflight Plan/,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Dusk                ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,,, ,
146883,146883,19980513009219A,A,91.0,0.4,N,,,,,1810.0,,B,A,,,,O,OPP,1G71,1.0,G,7.0,,3O,,,,,,,,,,,,4561C,AMTR,ROTORWAYEXEC,RWEXEC,EXPA1G71,GL,,,,G,,,,,,,GL,GL17,IN,VALPARAISO,PORTER COUNTY MUNICIPAL,,VPZ,,,,,1,B,B,S,,CLER,,10,,DRY,,VPZ,,,,,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980515.0,,19980928.0,,20120808.0,3,N,30.0,3.0,S,64.0,K,36.0,5.0,57.0,3329.0,GL,GL17,IN,"ON MAY 13, 1998, AT 1810 EASTERN STANTARD TIME (EST), A READ ROTORWAY EXECUTIVE 90, HOMEBUILT HELICOPTER, N4561C, O",                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,  , , , ,DR,GX,S,5,   ,N,N,N,E, ,8,COMMERCIAL PILOT    ,RH ASMEL ASES       ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Dynamic Rollover    ,Hovering            ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
146915,146915,19980521014579I,I,91.0,-5,F,,,,,1700.0,,B,A,,,,O,OPP,1H71,1.0,H,7.0,,3O,,,TR,,,,,,,,,68172,CESSNA,152,150,3A19,CE,,,,H,,,,,,,SO,SO07,MS,HOUSTON,,,,,,,,1,B,B,S,,,,,,,,,,,,,2.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980622.0,,19980622.0,,20120808.0,9,N,,,,48.0,O,,,,9000.0,SO,SO07,MS,FUEL STARVATION ON SHORT FLIGHT. PILOT ADMITTED MISTAKE IN VISUAL FUEL CHECK. LANDED SAFE IN OPEN FIELD.           ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,PF,E,A, ,OC,DA, ,5,   ,U,U,N,E,B,8,AIRLINE TRANSPORT   ,                    ,                    ,                    ,UNKNOWN             ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,Poor Preflight Plan ,Emergency Landing   ,Pilot-In-Command    ,                    ,Forced Landing      ,Normal Cruise       ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
146958,146958,19980601026769A,A,91.0,0.4,N,,,,,1831.0,,A,X,,,,S,OTH,1L72,1.0,L,7.0,,3O,3.0,O,TR,ZR,,,,,Y,,,541N,CESSNA,421,421,A7CE,CE,,,,L,CONT,GTSIO520D,O520,E7CE,SO,O,GL,GL15,MN,LITTLE FALLS,LITTLE FALLS/MORRISON CO ARPT,,LXL,,,,,8,,B,,,CLER,,10,,,,LXL,,,G,,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19980928.0,19980928.0,,,20120808.0,3,N,5.0,3.0,S,62.0,D,1500.0,,,6000.0,GL,GL15,MN,WITNESSES REPORTED THAT THE AIRCRAFT WAS NOT GAINING ALTITUDE SHORTLY AFTER TAKE-OFF. THE WINGS WERE DIPPING UP THE,                              ,  ,    ,           ,  ,    ,      ,None                ,AU,V,A, ,73, , ,M,KX,IB,D,5,   ,Y,N,N,G, ,8,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PHYSICIAN           ,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,7310,                    ,                    ,Fuel Contamination  ,Stall               ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Other               ,                    ,VFR                 ,                    ,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,Wheeled-Tricycle              ,Inflight/Ground Fire,                    ,                    ,                    ,,, ,
147012,147012,19980618026549I,I,91.0,-5,F,,,,,1235.0,,C,E,,,,O,OPP,1G72,1.0,G,7.0,,3U,,,,,,,,A,,,,6992,BELL,222U,222,H9SW,SW,,,,G,,,,,,,GL,GL21,ND,FARGO,ST LUKES HOSPITAL HELIPORT,,,,,,,8,G,B,S,,,,,,,,,,,,,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19980928.0,,19980928.0,,20120808.0,9,N,65.0,6.0,S,50.0,K,450.0,,45.0,6500.0,GL,GL15,MN,THE PILOT AND MECHANIC WERE PERFORMING A RUN UP AFTER MAINTENANCE OF THE AIR CYCLE UNIT. DURING THE RUN UP THE MECH,PETROLEUM HELICOPTERS INC     ,LA,HEEA,HEEA617E   ,SW,SW03,      ,Unknown             ,II,V,A, ,71, , ,J,SE,DA,S,8,   ,U,U,U,E, ,0,AIRLINE TRANSPORT   ,G RH ASMEL          ,NOT USED            ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,7110,                    ,                    ,Improperly Secured  ,Other-Miscellaneous ,Normal Cruise       ,                    ,Pilot And Maintenanc,Other               ,Test Flight         ,VFR                 ,Weather Not A Factor,Day                 ,Flight & Maintenance,Violation           ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
147042,147042,19980629015249A,A,91.0,0.4,N,,,,,2000.0,,A,X,,,,S,LSG,1L71,1.0,L,7.0,,3O,3.0,O,,,,,,,Y,,,76JF,AMTR,MUSTANGMIDGT,MSTGMI,EXPA1L71,GL,,,,L,LYC,O320A3B,O320,E274,EA,O,WP,WP27,CA,TRACY,TRACY MUNI ARPT,7,TCY,,,,,1,B,B,S,,CLER,,10,,DRY,,TCY,,,,,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19980630.0,19980825.0,,,20120808.0,1,N,1.0,9.0,N,59.0,N,,,,660.0,WP,WP27,CA,LOST POWER. CRASHED. PLASTIC LODGED IN FUEL LINE. (.4)THE EXPERIMENTAL AIRPLANE WAS ON CLIMBOUT FOLLOWING A TOUCH-A,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,28, , ,T,JA,IH,D,5,   ,N,N,N,E, ,8,PRIVATE PILOT       ,ASEL                ,UNKNOWN             ,NO MEDICAL CERTIFICA,OTHER               ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,2810,                    ,                    ,Other               ,Collision With Wires,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Dusk                ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, ,
147067,147067,19980705015849A,A,91.0,0.4,N,,,,,1335.0,,B,A,,,,O,LSG,1K00,1.0,K,0.0,,,,,,,,,,,,,,6686,ROLSCH,LS6,LS,G37EU,EU,,,,K,,,,,,,WP,WP21,CA,LLANO,CRYSTAL ARPT,25,L01,,,,,1,B,B,S,,CLER,,10,,DRY,,L01,,,,,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19980706.0,19980916.0,,,20120808.0,3,N,45.0,3.0,S,58.0,O,550.0,,,4186.0,WP,WP23,CA,RT AILERON OR WING WAS FLUTTER BEFORE GLIDER RELEASE. AFTER RELEASE WENT INTO RIGHT SPRIRAL. IMPACTED GROUND. (.4) ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,27, , ,J,,IH,D,5,   ,N,N,N,E, ,8,COMMERCIAL PILOT    ,G ASMEL             ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,2710,                    ,                    ,Improperly Secured  ,Airframe Failure-In ,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,KITE/SAILWING                 ,NONPOWERED                    ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
147096,147096,19980714021759I,I,135.0,-5,F,,,,,915.0,,B,D,,,,O,OPP,1H71,1.0,H,7.0,,3O,,,,Z2,,,,,,,,114GS,CESSNA,U206F,206,A4CE,CE,,,,H,,,,,,,NE,NE05,MA,CUTTY HUNK ISLA,,,,,,,,5,S,B,S,,,,,,,,,,,,,4.0,3.0,0.0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19980825.0,,19980825.0,,20120808.0,3,N,5.0,3.0,S,48.0,K,1600.0,149.0,149.0,6000.0,NE,NE01,MA,FAILED TO CHECK GEAR ON AMPHIBIAN LANDED GEAR DOWN IN WATER. FLIPPED OVER.                                         ,                              ,  ,    ,           ,  ,    ,      ,Air Taxi Flight Foll,ME,V,A, ,  , , , ,FX,HA,M,5,   ,Y,N,N,E, ,9,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Nose Up Or Over     ,Level Off Touchdown ,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,Over Water/Into Wate,                    ,                    ,                    ,,, ,
147189,147189,19980813020699A,A,91.0,-23,F,,,,,1000.0,,B,A,,,,O,OPP,1H72,1.0,H,7.0,,3O,3.0,O,,,,,,,,,,78SC,CESSNA,T337E,337,A6CE,CE,,,,H,CONT,TSIO360A,O360,E9CE,SO,O,NM,NM09,OR,PORTLAND,PORTLAND/HILLSBORO ARPT,,HIO,,,,,1,B,B,S,,CLER,,10,,DRY,,HIO,,,,,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19980814.0,19981030.0,,,20120808.0,1,N,1.0,0.0,S,50.0,O,60.0,,40.0,166.0,NM,NM09,OR,"ACFT BOUNCED ON LANDING, LOST CONTROL, AND VEERED OFF THE RWY. (-23)PILOT STATED THAT HE HAD MADE A NUMBER OF TOUCH",                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,  , , , ,AA,HH,S,8,   ,Y,Y,N,E, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Touch And Go Landing,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, ,
147243,147243,19980826027719I,I,137.0,-5,F,,,,,830.0,,A,X,,,,O,OPP,1L71,1.0,L,7.0,,3R,,,,,,,,,,,,2027,WSK,PZLM18,M18,,EU,,,,L,,,,,,,WP,WP17,CA,TRANQUILITY,,,,,,,,6,A,B,S,,,,,,DRY,,,,,,,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19981002.0,,19981002.0,,20120808.0,3,N,1.0,0.0,S,36.0,K,1500.0,,200.0,7500.0,WP,WP17,CA,DURING THE AIRCRAFT TAKEODD THE TAIL WHEEL BECAME UNLOCKED DUE TO AN ACCUMULATION OF DIRT IN THE TAIL WHEEL. THE AI,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,32, , ,W,AC,IA,M,8,   ,N,N,N,E, ,8,COMMERCIAL PILOT    ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,3220,                    ,                    ,Fouled              ,Loss Of Directional ,Takeoff Ground Roll ,                    ,Pilot And Maintenanc,Aerial Applicator   ,Agriculture         ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
