,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
1980,19960929039119I,"NARRATIVE: HISTORY OF FLIGHT; ON 09/29/96, AT 18 CDT, A CESSNA21C, N76737, REGISTERED TO JUNIOR FOOD STORES, ME",II,O,79,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,7910,                    ,                    ,Improperly Secured  ,System/Component Mal,Fcd/Prec Ldg From Cr,                    ,Pilot And Maintenanc,Executive           ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"NARRATIVE: HISTORY OF FLIGHT; ON 09/29/96, AT 18 CDT, A CESSNA21C, N76737, REGISTERED TO JUNIOR FOOD STORES, MERIDIAN, MS DIVERTED TO ADAMS FIELD LIT, LITTLE ROCK, AR FOR A PRECAUTIONARY LANDING DUE TO AN OIL LEAK AND STREAKING ON THE COWLING OF THE LEFT ENGINE  THE AIRCRAFT WAS ON AN IFR FLIGHT PLAN IN DAY VFR CONDITIONS TO MERIDIAN, MS  THERE WAS NO DAMAGE TO THE AIRCRAFT, AND NO INJURIES  THE PILOT IN COMMAND IS A CERTIFICATED COMMERCIAL PILOT  THE FLIGHT ORIGINATED AT MOUNTAIN HOME, AR  DAMAGE TO AIRCRAFT; THE AIRCRAFT SUSTAINED NO DAMAGE  TEST AND RESEARCH; VISUAL INSPECTION OF THE ENGINE REVEALED THAT THE OIL FILLER CAP HAD LOOSENED AND WAS FOUND HANGING BY THE CHAIN  THE ENGINE WAS CLEANED UP AND THE OIL LOST 1 QT WAS REPLENISHED  THE ENGINES WERE RUN-UP FOR AN OPERATIONAL CHECK  THE AIRCRAFT DEPARTED LIT AND LANDED UNEVENTFULLY AT MERIDIAN, MS  THIS INCIDENT IS CLOSED "
1981,19960925029989A,LOST FUEL PRESSURE EN ROUTE SPRAY AREA  ENGINE QUIT  DUMPED LOAD  FIRE IN ENGINE FUEL HOSE THROTTLE TO VALVE FAILED,DE,E,28,"Defic, Co Maintain E",Emergency Landing   ,Pilot-In-Command    ,2820,                    ,                    ,Leaking             ,Fire Or Explosion-In,Fcd/Prec Ldg From Cr,                    ,Inadequate Maintenan,Aerial Applicator   ,Agriculture         ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"LOST FUEL PRESSURE EN ROUTE SPRAY AREA  ENGINE QUIT  DUMPED LOAD  FIRE IN ENGINE FUEL HOSE THROTTLE TO VALVE FAILED  IT WAS REPORTED BY THE PILOT THAT WHILE ENROUTE TO AN AERIAL APPLICATION LOCATION THE ENGINE LOST POWER  DURING THE EMERGENCY LANDING, THE COWLING PAINT BLISTERED AND STARTED SMOKING  AN EMERGENCY LANDING WAS MADE IN A BEAN FIELD WITHOUT ANY OTHER AIRCRAFT DAMAGE  AN INITIAL INSPECTION OF THE AIRCRAFT REVEALED A FIRE HAD DAMAGED COMPONENTS IN THE TOP AND ACCESSORY SECTION OF THE ENGINE "
1982,19961012032179A,"COLLIDED WITH GROUND DURING AG OPS  FUEL PUMP INOP  FUEL STARVATION  TAIL ROTOR HIT, THEN NOSE HIT A STUMP   A",AU,E,UT,Attempt Operation Wi,Emergency Landing   ,Pilot-In-Command    ,Selected Unsuitable,Emergency Landing   ,Pilot-In-Command    ,                    ,Collision With Other,Pwr Off Run Land (Au,                    ,Pilot Induced       ,Aerial Applicator   ,Agriculture         ,VFR                 ,Weather Not A Factor,Day                 ,Maintenance Personne,Violation           ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,750 HP AND OVER               ,                    ,                    ,Pilot and Ground Cre,                    ,"COLLIDED WITH GROUND DURING AG OPS  FUEL PUMP INOP  FUEL STARVATION  TAIL ROTOR HIT, THEN NOSE HIT A STUMP   AIRCRAFT WAS REPORTEDLY APPLYING CHEMICALS WHEN ENGINE QUIT   AT THE ACCIDENT SCENE NO FUEL ODOR OR FUEL LEAKAGE WAS OBSERVED AND THE LEFT FUEL BOOST CIRCUIT BREAKER WAS OUT   FOUND THAT THE LEFT FUEL BOOST PUMP WAS WRITTEN UP IN LOGBOOK AS INOPERATIVE   AFTER AIRCRAFT WAS RECOVERED FROM SITE A VISUAL INSPECTION REVEALED THE FUEL CELLS INTACT WITH 1"" OF FUEL IN RIGHT TANK AND ABOUT"" OF FUEL IN LEFT TANK   THE AIRCRAFT OPERATORS MANUAL STATES THAT IF THE LEFT FUEL BOOST PUMP IS INOPERATIVE THERE IS APPROXIMATELY 55 POUNDS OF UNUSABLE FUEL IN THE LEFT FUEL TANK "
1983,19960711025049I,NARRATIVE: PRIOR TO TAKE-OFF THE PILOT INDICATED HE COMPLETED A CONTROL CHECK AND EVERYTHING WAS SATISFACTORY  HOWE,II,E,PI,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Cntl Intfr By Passen,Other/Miscellaneous ,Other/Pass/Cabin Cre,                    ,Hard Landing        ,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Unknown             ,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,"NARRATIVE: PRIOR TO TAKE-OFF THE PILOT INDICATED HE COMPLETED A CONTROL CHECK AND EVERYTHING WAS SATISFACTORY  HOWEVER, DURING THE TAKE-OFF ROLL THE STICK IS HELD FULL AFT AND HIS PASSENGERS SEAT BELT INADVERTENTLY SLIPPED OVER THE STICK  AFTER LIFT OFF HE REALIZED THERE WAS A CONTROL PROBLEM AND SET THE AIRCRAFT BACK DOWN ON THE RUNWAY STRAIGHT AHEAD  BECAUSE HE HAD NO CYCLIC CONTROL THE AIRCRAFT LANDED ON THE RIGHT MAIN COLLAPSING IT AND SUBSEQUENTLY DAMAGING THE ROTOR BLADE TIPS AS WELL  NO INJURIES AFTER THEY STOPPED MOVING, THE PILOT GOT OUT AND THE SEAT BELT IN THE REAR WAS STILL OVER THE STICK "
1984,19961014031959A,"HELICOPTER HOVERING WHEN PILOT HEARD LOUD POP, EXECUTED AUTOROTATION, MAIN ROTOR FLEXED, CUT OFF TAIL BOOM  DUR",II,7,  ,Inadequate Insp Of A,Settling W/Power    ,Pilot-In-Command    ,,                    ,                    ,                    ,System/Component Mal,Forced/Precautionary,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers And Cargo,VFR                 ,Weather Not A Factor,Dawn                ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"HELICOPTER HOVERING WHEN PILOT HEARD LOUD POP, EXECUTED AUTOROTATION, MAIN ROTOR FLEXED, CUT OFF TAIL BOOM  DURING TAKEOFF, APPROXIMATELY 50 FEET AGL, THE PILOT HEARD A 'BIG POP AND THE HELICOPTER WAS SHAKY AND NOISY '  HE INITIATED A DECELERATION DUE TO THE WIRES IN FRONT OF THE HELICOPTER   DURING THE LANDING, 'A MAIN ROTOR BLADE FLEXED DOWN AND SEVERED THE TAILBOOM '  THROUGHOUT THE FORCED LANDING THE PILOT HAD TAIL ROTOR PEDAL CONTROL   AN EXAMINATION OF THE ENGINE BY THE OPERATOR REVEALED THAT FROGS HAD BEEN INGESTED                            ON OCTOBER , 1996, AT 7:20 AM, CENTRAL DAYLIGHT TIME, PILOT NIEN V  PHAN WAS ATTEMPTING TO TAKE OFF FROM THE SHELL HELIPORT LOCATED AT VENICE, LOUISIANA, IN A BELL, MODEL 206-L3, N297, OWNED BY PETROLEUM HELICOPTERS, INC  THE AIRCRAFT WAS APPROXIMATELY 50 FEET IN THE AIR WHEN THE ENGINE SOUNDED LIKE IT WAS BACKFIRING  PILOT PHAN ENTERED INTO AN EMERGENCY AUTOROTATION, LANDING LONG ON THE HELIPAD IN ORDER TO AVOID STRIKING HIGH TENSION POWER LINES LOCATED DIRECTLY IN FRONT OF THE FLIGHT PATH  THE AIRCRAFT'S MAIN ROTOR BLADE STRUCK THE TAIL BOOM, SEVERING APPROXIMATELY A TWO-FOOT SECTI                                          ON OF THE TAIL BOOM TO INCLUDE THE VERTICAL FIN AND TAIL ROTOR GEAR BOX  SUBSEQUENT INVESTIGATION AND TEAR DOWN OF THE ENGINE REVEALED THAT THE ENGINE HAD INGESTED SEVERAL GREEN TREE FROGS, RESULTING IN LOSS OF POWER "
1985,19961015037589I,NARRATIVE: AT APPROX  1700 CST MR  FRYE TAXIED HIS CHALLENGER II FOR AN INTERSECTION TAKEOFF ON A PRIVATE GRASS STR,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Stall               ,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"NARRATIVE: AT APPROX  1700 CST MR  FRYE TAXIED HIS CHALLENGER II FOR AN INTERSECTION TAKEOFF ON A PRIVATE GRASS STRIP 10 MI  SOUTH OF CULLMAN AIRPORT  HE ENTERED THE RUNWAY AT65', STARTED A TAKEOFF ROLL OF APPROX  100'  AFTER ROTATION THE AIRCRAFT FLEW DOWNFIELD APPROX  528' AND TO APPROX  75' AGL DRIFTING RT  OF CENTERLINE  DURING THIS TIME THE PILOT RECOGNIZED THERE WAS NO FORWARD CONTROL STICK AUTHORITY AND REALIZED THE AFT SEATBELT HAD BEEN LEFT AROUND THE STICK LATCHED TO SERVE AS A GROUND CONTROL GUST LOCK, THE NOSE REMAINED ABNORMALLY NOSE-HIGH AND THE PILOT WAS UNABLE TO FREE THE STICK OF THE BELT RESTRICTION  HE THEN DECREASED POWER AND THE NOSE DROPPED ABRUPTLY  HE THEN REAPPLIED POWER AND REGAINED A NOSE-HIGH ALTITUDE WHILE FALLING FROM 75' AGL  THE AIRCRAFT CAME TO REST ON THE EDGE OF A TREE LINE 1093' DOWN FIELD AND 1' RIGHT SIDE OF RUNWAY CENTERLINE  WITH THE NOSE APPROX  120 DEGREE RIGHT OF RUNWAY HEADING 300 DEGREES  THE ENGINE WAS RUNNING THROUGHOUT THE FLIGHT  THERE WERE NO INJURIES AIRCRAFT HAD BEEN MOVED TO A NEARBY HANGAR FOR REPAIR  MR  FRYE WAS COUNSELED 23 OCT 96 ON THE APPLICABLE FAR'S AND THE SERIOUSNESS OF THE SITUATION  HE PRESENTED SUBSTANTIAL CORRECTIVE ACTION AND WAS PRESENTED WITH INFORMATION TO CONTINUE PARTICIPATION IN ""WINGS"" PROGRAM AND FLIGHT CLINICS  HE WAS TOLD AND THE CASE WAS CLOSED "
1986,19961018033089A,"CRASHED ON TAKEOFF  THE PILOT STATED THAT HE WAS IN A HURRY, AND WAS TRYING TO COMPLETE HIS TAKEOFF BEFORE THE",II,V,56,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,5610,                    ,                    ,Improperly Secured  ,Hard Landing        ,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-MID WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,Pilot and Ground Cre,                    ,"CRASHED ON TAKEOFF  THE PILOT STATED THAT HE WAS IN A HURRY, AND WAS TRYING TO COMPLETE HIS TAKEOFF BEFORE THE ARRIVAL OF AN INBOUND JET  HE STATED THAT HE DID NOT LOCK THE COCKPIT CANOPY  DURING TAKEOFF, APPROXIMATELY 10 FEET IN THE AIR, THE CANOPY CAME OPEN, AND THE AIRPLANE FELL TO THE RUNWAY AND WAS DAMAGED "
1987,19961104034789A,"VFR PILOT FLYING INTO IFR CONDITIONS, UNABLE TO LAND DUE TO WEATHER, VECTORED TO TEA AIRPORT, CRASHED  THE NONI",AU,V,WX,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,Cont Vfr Flight Into,Weather             ,Pilot-In-Command    ,                    ,Uncontroll Coll With,Final Approach,                    ,Pilot Induced       ,Personal            ,Pleasure            ,IFR                 ,Fog                 ,Night               ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,Pilot and Ground Cre,"VFR PILOT FLYING INTO IFR CONDITIONS, UNABLE TO LAND DUE TO WEATHER, VECTORED TO TEA AIRPORT, CRASHED  THE NONINSTRUMENT-RATED PILOT WAS OPERATING THE AIRPLANE WITH AN INOPERATIVE DIRECTIONAL GYRO   THE FLIGHT ARRIVED AND REQUESTED A LANDING AT A CONTROLLED AIRPORT AT NIGHT, IN INSTRUMENT METEOROLOGICAL CONDITIONS   THE AIR TRAFFIC CONTROLLER SUGGESTED HEADINGS TO AN UNCONTROLLED AIRPORT; HOWEVER, THE PILOT WAS UNABLE TO NAVIGATE TO THAT LOCATION  THE AIRPLANE DEPARTED CONTROLLED FLIGHT AND IMPACTED THE TERRAIN   SUBSEQUENT INVESTIGATION FAILED TO REVEAL ANY ADDITIONAL PRE-EXISTING ANOMALIES IN THE AIRPLANE           ON NOVEMBER, 1996, AT 2108 CST, A CESSNA 177B OWNED AND OPERATED BY PRIVATE PILOT SHIRLEY GEORGE CLARK DISAPPEARED FROM RADAR WHILE IN CONTACT WITH SIOUX FALLS APPROACH  THE AIRCRAFT DEPARTED SCOTTSBLUFF, NEBRASKA ON A FAR PART 91 VFR FLIGHT TO SIOUX FALLS, SOUTH DAKOTA  THE WEATHER AT SIOUX FALLS WAS IFR  THE PILOT WAS NOT INSTRUMENT RATED  NO FLIGHT PLAN WAS FILED, AND THERE WAS NO EVIDENCE THAT THE PILOT OBTAINED A WEATHER BRIEFING  THE AIRCRAFT WAS DEMOLISHED AND THE PILOT RECEIVED FATAL INJURIES  THERE WERE                                               NO OTHER PASSENGERS ON BOARD "
1988,19961025033909A,FAILED REMOVE DOLLY PRIOR TAKEOFF  HANDLE CAUGHT ON GROUND  HELICOPTER ROLLED OVER ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Nose Up Or Over     ,To Vertical (Helicop,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,FAILED REMOVE DOLLY PRIOR TAKEOFF  HANDLE CAUGHT ON GROUND  HELICOPTER ROLLED OVER 
1989,19960725019819A,ON TAKEOFF CARDBOARD FOLDER BLEW OUT AND STRUCK WOOD PROP  VIBRATED DUE BROKEN PROP  OVERRAN ROAD INTO TREES DITCH ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Trees,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"ON TAKEOFF CARDBOARD FOLDER BLEW OUT AND STRUCK WOOD PROP  VIBRATED DUE BROKEN PROP  OVERRAN ROAD INTO TREES DITCH   THE AIRCRAFT TOOK OFF AT GUNDYS AIRPORT, OWASSO, OKLAHOMA  AT ABOUT 200 FEET, A NOTEBOOK BLEW OUT OF THE AIRCRAFT AND INTO THE PROPELLER  ONE HALF OF ONE BLADE SEPARATED  THE PILOT ABORTED TAKEOFF AND LANDED IN TREES OFF THE END OF THE RUNWAY  THE AIRCRAFT RECEIVED SUBSTANTIAL DAMAGE  THERE WERE MINOR INJURIES TO THE PILOT AND PASSENGERS "
1990,19961101034759A,HELICOPTER LIFTED OFF HELIPAD WITH AN EXTERNAL LOAD WHEN CABLE BECAME ENTANGLED IN LANDING SKID  ROLLED OVER ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Dynamic Rollover    ,To Vertical (Helicop,                    ,Pilot Induced       ,Industrial/Special  ,Helicopter External ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,HELICOPTER LIFTED OFF HELIPAD WITH AN EXTERNAL LOAD WHEN CABLE BECAME ENTANGLED IN LANDING SKID  ROLLED OVER 
1991,19961117035929A,LOST POWER AT CRUISE  CRASH LANDED ON HIGHWAY IN A DITCH  FUEL SIPHONING EXHAUSTION  FUEL CAPS NOT SECURED   A,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,LOST POWER AT CRUISE  CRASH LANDED ON HIGHWAY IN A DITCH  FUEL SIPHONING EXHAUSTION  FUEL CAPS NOT SECURED   AFTER A5 MINUTE FLIGHT THE ENGINE QUIT   AFTER LANDING THE PILOT DISCOVERED THAT A FUEL CAP WAS NOT SEALED CORRECTLY   PRIOR TO TAKEOFF HE HAD THE AIRCRAFT TOPPED OFF   HE SAID HE VISUALLY INSPECTED THE CAP BUT DID NOT PHYSICALLY CHECK THE CAP ON HIS HIGH WING AIRCRAFT 
1992,19961118041829I,maintenance CHECK FLIGHT  ALTIMETER FROZE AT FL120  THEN OPERATED ON DESENT  STATIC LINES OFF  FAILED PRIOR CHECK ,II,O,34,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,3411,                    ,                    ,Improper Instal - No,System/Component Mal,Normal Cruise,                    ,Pilot And Maintenanc,Scheduled Air Carrie,Test Flight         ,VFR                 ,Weather Not A Factor,Night               ,Flight Personnel    ,Discussion          ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,maintenance CHECK FLIGHT  ALTIMETER FROZE AT FL120  THEN OPERATED ON DESENT  STATIC LINES OFF  FAILED PRIOR CHECK 
1993,19961120040099I,"NARRATIVE: DURING A CROSS COUNTRY FLIGHT FROM SIOUX FALLS, SD TO OMAHA, NE THE TOP ENTRANCE DOOR HALF CAME OPEN AT",II,E,52,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,5210,                    ,                    ,Improperly Secured  ,System/Component Mal,Normal Cruise,                    ,Pilot Induced       ,Business            ,None Or Other       ,Unknown             ,Unknown             ,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"NARRATIVE: DURING A CROSS COUNTRY FLIGHT FROM SIOUX FALLS, SD TO OMAHA, NE THE TOP ENTRANCE DOOR HALF CAME OPEN AT 12,000' DURING CRUISE  THE AIRCRAFT SUSTAINED MINOR DAMAGE TO THE TOP HALF OF THE CABIN DOOR AND THE LEADING EDGE OF THE RIGHT WING INBOARD OF THE STRUT  THE PILOT LANDED THE AIRCRAFT AT THE SPENCER AIRPORT, SPENCER, IA WITHOUT FURTHER INCIDENT  INSPECTION OF THE DOOR LATCHES AND DOOR LATCHING MECHANISM SHOWED NO DISCREPANCIES  THIS REPORT IS CONSIDERED CLOSED AS OF THE DATE OF THIS REPORT 11/22/96 "
1994,19961123036339A,THE PILOT/OWNER OF THE AIRCRAFT COMPLETED THE PREFLIGHT AND STARTED THE ENGINE BY HAND PROPPING   WHEN HE CLIMB,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Directional ,Takeoff Ground Roll,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"THE PILOT/OWNER OF THE AIRCRAFT COMPLETED THE PREFLIGHT AND STARTED THE ENGINE BY HAND PROPPING   WHEN HE CLIMBED INTO THE COCKPIT, HE CLOSED THE CANOPY TO REDUCE THE WIND, BUT DID NOT LOCK THE CANOPY   AFTER TAXI AND RUN-UP, HE STILL FAILED TO LOCK THE CANOPY, AND BEGAN THE TAKEOFF ROLL   AT ROTATION SPEED, THE CONOPY SLID BACK, CAUGHT HIS HEADPHONES, AND HELD HIS HEAD BACK   THE PILOT LOST DIRECTIONAL CONTROL, WENT OFF THE RUNWAY, AND THE AIRPLANE NOSED OVER   THE PILOT REPORTED THAT THE ACCIDENT COULD HAVE BEEN PREVENTED BY USE OF A CHECKLIST "
1995,19960809022189A,LOST RIGHT BRAKE  UNABLE USE LEFT BRAKE  EXITED  TAXIWAY DOWN HILL INTO TREES  NO FLUID MASTER CYL  BEEN LEAKING ,II,E,32,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,3243,                    ,                    ,Leaking             ,Collision With Trees,"Ground Taxi, Other A",                    ,Inadequate Maintenan,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,LOST RIGHT BRAKE  UNABLE USE LEFT BRAKE  EXITED  TAXIWAY DOWN HILL INTO TREES  NO FLUID MASTER CYL  BEEN LEAKING 
1996,19961217044949I,NARRATIVE: START VALVE STAYED OPEN AFTER #2 ENGINE WAS STARTED  maintenance CLOSED THE VALVE MANUALLY AS PER MEL 80,DE,E,80,"Defic, Co Maintain E",Emergency Landing   ,Pilot-In-Command    ,8010,                    ,                    ,Jammed Or Malfunctio,System/Component Mal,To Init Climb(1st Pw,                    ,Pilot And Maintenanc,Scheduled Air Carrie,Passengers          ,VFR                 ,Weather Not A Factor,Night               ,"FAA Sts, Policies Or",Other               ,Op & FAA St Policies,Recommend Gen Change,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"NARRATIVE: START VALVE STAYED OPEN AFTER #2 ENGINE WAS STARTED  maintenance CLOSED THE VALVE MANUALLY AS PER MEL 80-2 AND 80-1  AFTER TAKE OFF AND DURING CLIMB, THE START VALVE AGAIN OPENED INTERMITTENTLY  THE STARTER THEN DISENTEGRATED DOING DAMAGE TO THE ENGINE COWLING AND CAUSING A FIRE  ENGINE WAS SHUT DOWN, AGENT DISCARDED AND AIRCRAFT RETURNED TO AUSTIN  IT WAS DISCOVERED THAT NWAA APPROVED MEL HAS NO PROVISION TO ELECTRICALLY ISOLATE THE STARTER CONTROL VALVE  AGENCY COMPETENCY  MEL HAS NO PROVISION TO ELECTRICALLY ISOLATE THE STARTER CONTROL VALVE AS ALL OTHER CARRIERS HAVE "
1997,19961231040889A,LOST POWER ON CLIMBOUT  TRIED RETURN  HIT FENCE SHORT RUNWAY  WAATER IN FUEL LEAKY FUEL CAP  RECENT ANNUAL AND RAIN,II,E,UO,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Unsafe Acts By Third,Emergency Landing   ,Maintenance And/Or G,                    ,Engine Malfunction  ,Forced/Precautionary,                    ,Pilot And Maintenanc,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,LOST POWER ON CLIMBOUT  TRIED RETURN  HIT FENCE SHORT RUNWAY  WAATER IN FUEL LEAKY FUEL CAP  RECENT ANNUAL AND RAIN
1998,19970102000129A,SEARCH AND RESCUE FLIGHT  PASSENGER ACCIDENTLY BROKE FUEL HANDLE  INADVERTENTLY PUT SELECTOR TO OFF  QUIT ON TAKEOF,AU,E,UA,Attempt Operation Wi,Emergency Landing   ,Pilot-In-Command    ,Unauthorized Action,Other/Miscellaneous ,Pilot-In-Command    ,                    ,System/Component Mal,Forced/Precautionary,                    ,Pilot Induced       ,Industrial/Special  ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,SEARCH AND RESCUE FLIGHT  PASSENGER ACCIDENTLY BROKE FUEL HANDLE  INADVERTENTLY PUT SELECTOR TO OFF  QUIT ON TAKEOF
1999,19960820028789I,"NARRATIVE: AIRCRAFT N1JX, A NORTH AMERICAN SABRELINER, MADE A NORMAL APPROACH AND LANDING AT THE MONROE AIRPORT, NO",II,E,32,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,3246,                    ,                    ,Improperly Secured  ,System/Component Mal,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Executive           ,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,750 HP AND OVER               ,                    ,                    ,                    ,                    ,"NARRATIVE: AIRCRAFT N1JX, A NORTH AMERICAN SABRELINER, MADE A NORMAL APPROACH AND LANDING AT THE MONROE AIRPORT, NORTH CAROLINA  DURING THE LANDING ROLL THE PILOT FELT A SCRUBBING OF THE NOSE WHEEL  AFTER ROLLING TO A STOP THE PILOT DISCOVERED THE NOSEWHEEL TURNED 90 DEGREES TO THE DIRECTION OF TRAVEL  AN AIRWORTHINESS INSPECTOR ASSESSED THE AIRCRAFT DAMAGE AND DETERMINED THAT THE DAMAGE WAS MINOR AND WAS LIMITED TO THE NOSE GEAR STRUT, WHEEL, AND SCISSORS ASSEMBLY  THE LOCKING BOLT WAS MISSING FROM THE NOSE GEAR SCISSORS WHICH ALLOWED THE NOSE GEAR TO SWIVEL  THE PILOT STATED THAT HE HAD MADE A NORMAL LANDING AND SUBSEQUENT DEPARTURE AT TETERBORO AIRPORT, AND THE AIRCRAFT HAD NOT BEEN TOWED AT TETERBORO  THIS INCIDENT WAS CAUSED BY THE ABSENCE OF THE NOSE GEAR LOCKING PIN WHICH APPARENTLY FELL OUT PRIOR TO LANDING, ALLOWING THE NOSE WHEEL TO ROTATE 90 DEGREES  SECURITY OF THE NOSE WHEEL SCISSORS LOCKING PIN IS A NORMAL PREFLIGHT ITEM AND ATTENTION TO PREFLIGHT REGIMEN SHOULD PREVENT SIMILAR OCCURRENCES "
